gene_id,id
Solyc01g095320.4.1,bag-6
Solyc01g095330.2.1,uk-1
Solyc01g102960.3.1,hsp22
Solyc01g103920.3.1,FerdOx
Solyc02g079930.3.1,psr
Solyc02g093600.3.1,hsp20-s
Solyc03g007890.3.1,hsp-atp
Solyc03g082420.3.1,hsp21
Solyc03g113930.3.1,hsp22-4
Solyc03g123540.3.1,hsp17.4
Solyc03g123710.3.1,uk
Solyc04g014480.3.1,hsp15.7
Solyc04g014600.3.1,AnH-1
Solyc05g014280.4.1,hsp-s.1
Solyc05g055010.4.1,RbP-42
Solyc06g011370.4.1,C1pB
Solyc06g076520.1.1,hsp-1
Solyc06g076540.1.1,hsp-1.1
Solyc06g076560.2.1,hsp-1s
Solyc06g076570.4.1,hsp-1.1s
Solyc06g150138.1.1,uk2
Solyc08g062340.3.1,hsp-17.9
Solyc08g062960.5.1,hsf-30
Solyc08g081455.1.1,uk3
Solyc09g007270.3.1,AsPOx
Solyc09g008970.1.1,pp
Solyc09g015000.4.1,hsp-1.s1
Solyc09g015020.1.1,hsp-1.s2
Solyc09g092690.3.1,Piso
Solyc10g084400.2.1,GluStr
Solyc11g020330.1.1,hsp-s.l
Solyc11g066100.2.1,hsp-70